total_meters,price,floor,floors_count,rooms_count,relative_floor
29.6,9800000,3,9,1,0.3333333333333333
48.5,20600000,14,24,1,0.5833333333333334
35.0,15500000,5,12,1,0.4166666666666667
43.0,17900000,2,21,1,0.09523809523809523
45.1,23800000,2,24,1,0.08333333333333333
37.0,14200000,5,8,1,0.625
39.1,9990000,5,17,1,0.29411764705882354
37.0,36000000,4,4,1,1.0
38.9,10750000,12,12,1,1.0
29.0,17500000,15,23,1,0.6521739130434783
38.0,13900000,21,25,1,0.84
37.0,13900000,8,17,1,0.47058823529411764
41.5,38999999,11,21,1,0.5238095238095238
43.6,22500000,4,27,1,0.14814814814814814
50.1,16500000,8,14,1,0.5714285714285714
38.0,36800000,14,26,1,0.5384615384615384
39.0,9999980,4,12,1,0.3333333333333333
25.0,9990000,4,4,1,1.0
41.3,11314272,12,26,1,0.46153846153846156
66.2,54500000,7,27,1,0.25925925925925924
39.0,22990000,20,22,1,0.9090909090909091
38.8,11200000,7,17,1,0.4117647058823529
42.6,17200000,21,24,1,0.875
26.0,10550000,4,4,1,1.0
41.0,12800000,19,24,1,0.7916666666666666
34.8,12500000,14,16,1,0.875
36.7,8300000,7,14,1,0.5
45.8,26000000,7,23,1,0.30434782608695654
38.7,9999999,12,16,1,0.75
37.5,11500000,2,19,1,0.10526315789473684
44.5,16000000,24,24,1,1.0
38.0,11200000,7,18,1,0.3888888888888889
36.6,14500000,12,17,1,0.7058823529411765
32.4,15900000,5,5,1,1.0
38.0,13250000,6,16,1,0.375
33.4,11850000,5,9,1,0.5555555555555556
38.0,9400000,10,17,1,0.5882352941176471
35.6,11450000,12,14,1,0.8571428571428571
38.9,9000000,4,8,1,0.5
32.7,8900000,6,9,1,0.6666666666666666
43.7,18500000,20,32,1,0.625
40.6,10500000,11,16,1,0.6875
36.0,9990000,10,12,1,0.8333333333333334
33.0,15900000,7,11,1,0.6363636363636364
37.8,15500000,5,14,1,0.35714285714285715
38.8,11700000,3,14,1,0.21428571428571427
38.0,18300000,5,32,1,0.15625
30.0,10900000,1,8,1,0.125
39.0,11500000,5,14,1,0.35714285714285715
41.1,13400000,5,22,1,0.22727272727272727
36.0,12850000,22,32,1,0.6875
46.8,16890000,24,25,1,0.96
35.7,12500000,9,25,1,0.36
35.8,12900000,5,17,1,0.29411764705882354
36.0,11800000,8,12,1,0.6666666666666666
32.7,9300000,6,12,1,0.5
41.4,22200000,8,23,1,0.34782608695652173
33.0,9495000,1,12,1,0.08333333333333333
42.3,15290000,13,16,1,0.8125
17.0,10790000,2,5,1,0.4
39.0,10500000,17,17,1,1.0
13.3,4287787,2,6,1,0.3333333333333333
37.6,10900000,16,17,1,0.9411764705882353
32.0,9500000,5,9,1,0.5555555555555556
31.2,13690000,7,9,1,0.7777777777777778
32.0,15999999,6,12,1,0.5
34.6,11500000,6,16,1,0.375
46.6,10200000,20,25,1,0.8
33.3,11800000,12,25,1,0.48
32.0,9800000,3,9,1,0.3333333333333333
42.0,10300000,16,19,1,0.8421052631578947
45.0,21500000,5,33,1,0.15151515151515152
35.2,9600000,3,16,1,0.1875
43.0,14500000,5,9,1,0.5555555555555556
37.0,14600000,4,18,1,0.2222222222222222
31.8,12350000,10,33,1,0.30303030303030304
34.9,8700000,1,16,1,0.0625
32.6,9950000,4,9,1,0.4444444444444444
46.0,21700000,7,8,1,0.875
47.0,13000000,10,19,1,0.5263157894736842
32.0,12500000,10,18,1,0.5555555555555556
44.0,14250000,3,19,1,0.15789473684210525
32.8,18800000,2,10,1,0.2
37.0,13700000,13,14,1,0.9285714285714286
47.7,15490000,5,17,1,0.29411764705882354
42.5,26000000,3,22,1,0.13636363636363635
38.4,14900000,15,16,1,0.9375
42.0,18000000,3,15,1,0.2
43.0,30999999,2,24,1,0.08333333333333333
31.0,12000000,4,9,1,0.4444444444444444
38.5,27900000,18,24,1,0.75
35.2,14000000,12,12,1,1.0
